title,url,category,text,cluster
Jury selection set to begin in Sean ‘Diddy’ Combs criminal federal trial,https://edition.cnn.com/2025/05/05/entertainment/sean-diddy-combs-trial-jury-selection,Arts/Culture/Celebrities,Jury selection set to begin in Sean ‘Diddy’ Combs criminal federal trial,3
Why jury selection in Sean ‘Diddy’ Combs’ trial will be more challenging than your average case,https://edition.cnn.com/2025/05/04/entertainment/jury-selection-sean-diddy-combs-trial,Arts/Culture/Celebrities,Why jury selection in Sean ‘Diddy’ Combs’ trial will be more challenging than your average case,3
Gigi Hadid marks 30th birthday bash by going Instagram official with Bradley Cooper,https://edition.cnn.com/2025/05/04/entertainment/gigi-hadid-bradley-cooper-instagram,Arts/Culture/Celebrities,Gigi Hadid marks 30th birthday bash by going Instagram official with Bradley Cooper,3
‘SNL’ marks Trump’s first 100 days in office with cold open spoofing bevy of executive orders,https://edition.cnn.com/2025/05/04/entertainment/snl-trump-100-days-cold-open,Arts/Culture/Celebrities,‘SNL’ marks Trump’s first 100 days in office with cold open spoofing bevy of executive orders,3
"2025 Tony Awards: George Clooney, Sarah Snook and Sadie Sink among the nominees",https://edition.cnn.com/2025/05/01/entertainment/2025-tony-award-nominations,Arts/Culture/Celebrities,"2025 Tony Awards: George Clooney, Sarah Snook and Sadie Sink among the nominees",3
"Dwayne Johnson, is that you? See his dramatic new look as UFC fighter Mark Kerr in ‘The Smashing Machine’ trailer",https://edition.cnn.com/2025/04/30/entertainment/dwayne-johnson-mark-kerr-smashing-machine,Arts/Culture/Celebrities,"Dwayne Johnson, is that you? See his dramatic new look as UFC fighter Mark Kerr in ‘The Smashing Machine’ trailer",3
"Lady Gaga bomb plot targeted LGBTQ crowd, Brazil authorities say",https://edition.cnn.com/2025/05/04/americas/brazil-lady-gaga-bomb-plot-rio-intl-latam,Arts/Culture/Celebrities,"Lady Gaga bomb plot targeted LGBTQ crowd, Brazil authorities say",3
Blake Lively references her year with the ‘lowest lows’ on ‘Late Night’,https://edition.cnn.com/2025/05/02/entertainment/blake-lively-lowest-lows-seth-meyers,Arts/Culture/Celebrities,Blake Lively references her year with the ‘lowest lows’ on ‘Late Night’,3
Russell Brand granted bail in first court appearance over sexual assault charges,https://edition.cnn.com/2025/05/02/uk/russell-brand-court-sexual-assault-charges-intl,Arts/Culture/Celebrities,Russell Brand granted bail in first court appearance over sexual assault charges,3
Glenn Close ‘really bonded’ with Nicole Scherzinger over the role of Norma Desmond in ‘Sunset Blvd.’,https://edition.cnn.com/2025/04/30/entertainment/glenn-close-nicole-scherzinger-sunset-blvd,Arts/Culture/Celebrities,Glenn Close ‘really bonded’ with Nicole Scherzinger over the role of Norma Desmond in ‘Sunset Blvd.’,3
Florence Pugh says her grandmother ‘laps it up’ when attending her movie premieres,https://edition.cnn.com/2025/05/01/entertainment/florence-pugh-grandmother-thunderbolts,Arts/Culture/Celebrities,Florence Pugh says her grandmother ‘laps it up’ when attending her movie premieres,3
Martin Scorsese is producing a documentary featuring Pope Francis’ final on-camera interview,https://edition.cnn.com/2025/04/30/entertainment/martin-scorsese-pope-francis-final-interview,Arts/Culture/Celebrities,Martin Scorsese is producing a documentary featuring Pope Francis’ final on-camera interview,3
"After brain cancer treatment, Michael Bolton says he has a ‘heightened sense of appreciation’ for life",https://edition.cnn.com/2025/04/30/entertainment/michael-bolton-brain-cancer-recovery,Arts/Culture/Celebrities,"After brain cancer treatment, Michael Bolton says he has a ‘heightened sense of appreciation’ for life",3
Robert De Niro shows support for daughter Airyn after she shares she’s trans: ‘I don’t know what the big deal is’,https://edition.cnn.com/2025/05/01/entertainment/robert-de-niro-daughter-airyn,Arts/Culture/Celebrities,Robert De Niro shows support for daughter Airyn after she shares she’s trans: ‘I don’t know what the big deal is’,3
Met Gala 2025: Everything you need to know about fashion’s biggest night out,https://edition.cnn.com/2025/05/01/style/met-gala-2025-theme-guest-list-preview,Arts/Culture/Celebrities,Met Gala 2025: Everything you need to know about fashion’s biggest night out,3
Katherine Heigl says she’s ‘in talks’ to do a ‘27 Dresses’ sequel,https://edition.cnn.com/2025/05/03/entertainment/katherine-heigl-27-dresses-sequel,Arts/Culture/Celebrities,Katherine Heigl says she’s ‘in talks’ to do a ‘27 Dresses’ sequel,3
Alan Alda had a truly heartfelt moment with Tina Fey at Netflix’s ‘Four Seasons’ premiere,https://edition.cnn.com/2025/04/29/entertainment/alan-alda-four-seasons-tina-fey,Arts/Culture/Celebrities,Alan Alda had a truly heartfelt moment with Tina Fey at Netflix’s ‘Four Seasons’ premiere,3
‘You’ brought Joe Goldberg’s story to a fitting conclusion. The showrunners explain why he got what he deserved,https://edition.cnn.com/2025/04/26/entertainment/you-season-5-finale-penn-badgley,Arts/Culture/Celebrities,‘You’ brought Joe Goldberg’s story to a fitting conclusion. The showrunners explain why he got what he deserved,3
Where to watch ‘Conclave’,https://edition.cnn.com/2025/04/23/entertainment/conclave-movie-viewership,Arts/Culture/Celebrities,Where to watch ‘Conclave’,3
,https://edition.cnn.com/2025/04/29/entertainment/video/entertainment-showbiz-hollywood-movies-words-of-war-journalists-russia-anna-politkovskaya-maxine-peake-jason-isaacs,Arts/Culture/Celebrities,,3
Cyndi Lauper and more to be inducted into the Rock & Roll Hall of Fame,https://edition.cnn.com/2025/04/28/entertainment/rock-and-roll-hall-of-fame-inductees,Arts/Culture/Celebrities,Cyndi Lauper and more to be inducted into the Rock & Roll Hall of Fame,3
Bill Hader describes ‘shock’ of LA wildfires and the sweet way girlfriend Ali Wong helped him in the aftermath,https://edition.cnn.com/2025/04/28/entertainment/bill-hader-palisades-fire-ali-wong,Arts/Culture/Celebrities,Bill Hader describes ‘shock’ of LA wildfires and the sweet way girlfriend Ali Wong helped him in the aftermath,3
Most wanted: Beyoncé kicks off Cowboy Carter tour in Los Angeles,https://edition.cnn.com/2025/04/29/entertainment/beyonce-cowboy-carter-blue-ivy-rumi,Arts/Culture/Celebrities,Most wanted: Beyoncé kicks off Cowboy Carter tour in Los Angeles,3
Jay Leno is embracing being a caregiver for his wife: ‘I like that I’m needed’,https://edition.cnn.com/2025/04/24/entertainment/jay-leno-caregiver-wife-dementia,Arts/Culture/Celebrities,Jay Leno is embracing being a caregiver for his wife: ‘I like that I’m needed’,3
‘Sinners’ director Ryan Coogler takes us to film school in 10 minutes,https://edition.cnn.com/2025/04/18/entertainment/sinners-director-ryan-coogler-film-school,Arts/Culture/Celebrities,‘Sinners’ director Ryan Coogler takes us to film school in 10 minutes,3
George Lucas says there’s a valid reason why Yoda speaks so strangely,https://edition.cnn.com/2025/04/26/entertainment/george-lucas-yoda-talks-out-order,Arts/Culture/Celebrities,George Lucas says there’s a valid reason why Yoda speaks so strangely,3
Blake Lively addresses workplace safety in remarks at Time 100 Gala,https://edition.cnn.com/2025/04/25/entertainment/blake-lively-time-100-gala,Arts/Culture/Celebrities,Blake Lively addresses workplace safety in remarks at Time 100 Gala,3
"Ryan Gosling to star in new ‘Star Wars’ movie, set for 2027",https://edition.cnn.com/2025/04/18/entertainment/star-wars-starfighter-announcement-intl-hnk,Arts/Culture/Celebrities,"Ryan Gosling to star in new ‘Star Wars’ movie, set for 2027",3
…,https://www.theguardian.com/culture/2025/may/05/kula-shaker-govinda-sanskrit-radio#comments,Arts/Culture/Celebrities,…,3
…,https://www.theguardian.com/money/2025/may/04/how-ticketmaster-swallowed-the-live-entertainment-scene#comments,Arts/Culture/Celebrities,…,3
…,https://www.theguardian.com/film/2025/may/01/dwayne-the-rock-johnson-films-ranked#comments,Arts/Culture/Celebrities,…,3
…,https://www.theguardian.com/culture/2025/apr/28/mark-knopfler-dire-straits-money-for-nothing#comments,Arts/Culture/Celebrities,…,3
…,https://www.theguardian.com/music/2025/apr/24/girl-so-inspiring-lordes-20-best-songs-ranked#comments,Arts/Culture/Celebrities,…,3
…,https://www.theguardian.com/tv-and-radio/2025/may/03/david-attenborough-birthday-99-by-barack-obama-billie-eilish-morgan-freeman#comments,Arts/Culture/Celebrities,…,3
‘It normalises the abhorrent’: is The Handmaid’s Tale the most frustrating show on TV?,https://www.theguardian.com/tv-and-radio/2025/may/05/it-normalises-the-abhorrent-is-the-handmaids-tale-the-most-frustrating-show-on-tv,Arts/Culture/Celebrities,‘It normalises the abhorrent’: is The Handmaid’s Tale the most frustrating show on TV?,3
Trump’s movie tariffs are designed to destroy the international film industry,https://www.theguardian.com/film/2025/may/05/trumps-movie-tariffs-are-designed-to-destroy-the-international-film-industry,Arts/Culture/Celebrities,Trump’s movie tariffs are designed to destroy the international film industry,3
"Trump’s foreign film tariffs could ‘wipe out’ UK movie industry, ministers told",https://www.theguardian.com/film/2025/may/05/fears-trump-foreign-film-tariffs-wipe-out-uk-movie-industry,Arts/Culture/Celebrities,"Trump’s foreign film tariffs could ‘wipe out’ UK movie industry, ministers told",3
The doctors will see you now! It’s the all-time top 20 TV medical dramas,https://www.theguardian.com/tv-and-radio/2025/may/05/the-doctors-will-see-you-now-its-the-all-time-top-20-tv-medical-dramas,Arts/Culture/Celebrities,The doctors will see you now! It’s the all-time top 20 TV medical dramas,3
Palestinian activist’s home ‘raided’ by Israeli soldiers for appearing in Louis Theroux documentary,https://www.theguardian.com/tv-and-radio/2025/may/05/palestinian-activists-home-raided-by-israeli-soldiers-for-appearing-in-louis-theroux-documentary,Arts/Culture/Celebrities,Palestinian activist’s home ‘raided’ by Israeli soldiers for appearing in Louis Theroux documentary,3
We’re having sex inside Moby Dick! The wild architectural world of Japan’s love hotels,https://www.theguardian.com/artanddesign/2025/may/05/japan-love-hotels-moby-dick-ufos,Arts/Culture/Celebrities,We’re having sex inside Moby Dick! The wild architectural world of Japan’s love hotels,3
"Kula Shaker on making Govinda: ‘Crowds would sing the lyrics as, “Go cash your giro giro”’",https://www.theguardian.com/culture/2025/may/05/kula-shaker-govinda-sanskrit-radio,Arts/Culture/Celebrities,"Kula Shaker on making Govinda: ‘Crowds would sing the lyrics as, “Go cash your giro giro”’",3
Trump’s attack on the film industry is a sign of xenophobic contempt,https://www.theguardian.com/global/2025/may/05/hollywood-trump-tariffs-international,Arts/Culture/Celebrities,Trump’s attack on the film industry is a sign of xenophobic contempt,3
