title,url,category,text,cluster
Hollywood studio stocks fall after Trump proposes foreign film tariff,https://www.cnbc.com/2025/05/05/movie-studio-stocks-trump-foreign-film-tariff.html,entertainment,Hollywood studio stocks fall after Trump proposes foreign film tariff,3
MLS signs a deal with EA to stream four soccer matches on mobile gaming platform,https://www.cnbc.com/2025/05/05/mls-ea-sports-fc-mobile-streaming-matches.html,entertainment,MLS signs a deal with EA to stream four soccer matches on mobile gaming platform,3
NPR and PBS say they'll challenge Trump over federal funding cuts,https://www.cnbc.com/2025/05/04/npr-and-pbs-to-challenge-trump-over-public-funding-cuts.html,entertainment,NPR and PBS say they'll challenge Trump over federal funding cuts,3
"Planned bombing at Lady Gaga's Rio de Janeiro show thwarted, police say",https://www.cnbc.com/2025/05/04/bomb-threat-at-lady-gaga-rio-de-janiero-show-thwarted.html,entertainment,"Planned bombing at Lady Gaga's Rio de Janeiro show thwarted, police say",3
Disney and Marvel's 'Thunderbolts*' snares $76 million domestic opening,https://www.cnbc.com/2025/05/04/thunderbolts-disney-marvel-opening-weekend-box-office.html,entertainment,Disney and Marvel's 'Thunderbolts*' snares $76 million domestic opening,3
Netflix chief on what getting publicly fired taught her about failure,https://www.cnbc.com/2025/05/04/netflix-chief-on-what-getting-publicly-fired-taught-her-about-failure.html,entertainment,Netflix chief on what getting publicly fired taught her about failure,3
"By 25, make sure to learn this crucial skill, says Ivy League psychologist",https://www.cnbc.com/2025/05/02/psychologist-young-people-must-learn-to-focus-by-age-25.html,entertainment,"By 25, make sure to learn this crucial skill, says Ivy League psychologist",3
Charts indicate what may happen next in long-running Coke-Pepsi stock battle,https://www.cnbc.com/2025/05/02/charts-indicate-what-may-happen-next-in-long-running-coke-pepsi-stock-battle-says-carter-worth.html,entertainment,Charts indicate what may happen next in long-running Coke-Pepsi stock battle,3
Netflix stock is trading at all-time-high levels in unprecedented win streak,https://www.cnbc.com/2025/05/02/netflix-stock-nflx-all-time-high.html,entertainment,Netflix stock is trading at all-time-high levels in unprecedented win streak,3
Apple clears Spotify update under new rules allowing purchases within apps,https://www.cnbc.com/2025/05/02/apple-clears-spotify-app-update-that-allows-purchases.html,entertainment,Apple clears Spotify update under new rules allowing purchases within apps,3
Mongolia’s ‘ambitious’ plan could boost tourism to 10% of GDP by 2030: Minister,https://www.cnbc.com/2025/05/02/traveling-to-mongolia-country-wants-tourism-to-be-10percent-of-gdp-by-2030.html,entertainment,Mongolia’s ‘ambitious’ plan could boost tourism to 10% of GDP by 2030: Minister,3
"China warms up to K-pop as it pursues cultural diplomacy, strives to boost consumption amid trade worries",https://www.cnbc.com/2025/05/02/china-looks-set-to-turn-to-k-pop-sector-as-us-tariffs-bite.html,entertainment,"China warms up to K-pop as it pursues cultural diplomacy, strives to boost consumption amid trade worries",3
"Apple has managed tariffs so far, but Cook lacks long-term answers",https://www.cnbc.com/2025/05/01/apple-has-managed-tariffs-so-far-says-tough-to-predict-beyond-june.html,entertainment,"Apple has managed tariffs so far, but Cook lacks long-term answers",3
