title,url,category,text,cluster
Hollywood studio stocks fall after Trump proposes foreign film tariff,https://www.cnbc.com/2025/05/05/movie-studio-stocks-trump-foreign-film-tariff.html,business,Hollywood studio stocks fall after Trump proposes foreign film tariff,3
Inside GM’s battle to revive Cadillac as the American luxury car brand,https://www.cnbc.com/2025/05/05/gm-general-motors-cadillac-luxury-brand.html,business,Inside GM’s battle to revive Cadillac as the American luxury car brand,3
MLS sponsorships spike as U.S. soccer gains popularity,https://www.cnbc.com/2025/05/05/mls-sponsorships-spike-as-us-soccer-gains-popularity.html,business,MLS sponsorships spike as U.S. soccer gains popularity,3
MLS signs a deal with EA to stream four soccer matches on mobile gaming platform,https://www.cnbc.com/2025/05/05/mls-ea-sports-fc-mobile-streaming-matches.html,business,MLS signs a deal with EA to stream four soccer matches on mobile gaming platform,3
'Dumpster fire': Retailers urge shoppers to buy now before tariffs raise prices,https://www.cnbc.com/2025/05/04/retailers-urge-shoppers-to-buy-before-trump-tariffs-raise-prices.html,business,'Dumpster fire': Retailers urge shoppers to buy now before tariffs raise prices,3
Trump's China tariffs are raising costs for wedding dresses,https://www.cnbc.com/2025/05/03/trump-china-tariffs-wedding-dresses-bridal-shops.html,business,Trump's China tariffs are raising costs for wedding dresses,3
United cuts Newark schedule after hundreds of flight disruptions,https://www.cnbc.com/2025/05/02/newark-airport-ewr-new-jersey-delays-united-airlines.html,business,United cuts Newark schedule after hundreds of flight disruptions,3
Netflix stock is trading at all-time-high levels in unprecedented win streak,https://www.cnbc.com/2025/05/02/netflix-stock-nflx-all-time-high.html,business,Netflix stock is trading at all-time-high levels in unprecedented win streak,3
"Footwear giants Nike, Adidas and others ask Trump for tariff exemption",https://www.cnbc.com/2025/05/02/nike-adidas-footwear-giants-ask-trump-for-tariff-exemption.html,business,"Footwear giants Nike, Adidas and others ask Trump for tariff exemption",3
American Airlines to debut new suites with sliding doors after delays,https://www.cnbc.com/2025/05/02/american-airlines-suites-sliding-doors.html,business,American Airlines to debut new suites with sliding doors after delays,3
Churchill Downs CEO: Interest in Kentucky Derby is strong despite uncertainty,https://www.cnbc.com/2025/05/02/kentucky-derby-churchill-downs-ceo-strong-demand-uncertainty.html,business,Churchill Downs CEO: Interest in Kentucky Derby is strong despite uncertainty,3
Amazon is stepping up to fill a gap in Hollywood's movie slate,https://www.cnbc.com/2025/05/01/amazon-mgm-studios-gap-hollywood-movie-slate.html,business,Amazon is stepping up to fill a gap in Hollywood's movie slate,3
McDonald’s reports largest U.S. same-store sales decline since 2020,https://www.cnbc.com/2025/05/01/mcdonalds-mcd-q1-2025-earnings.html,business,McDonald’s reports largest U.S. same-store sales decline since 2020,3
Eli Lilly CEO says company can help with national security concerns around pharma,https://www.cnbc.com/2025/05/01/eli-lilly-ceo-david-ricks-trump-pharmaceutical-tariffs.html,business,Eli Lilly CEO says company can help with national security concerns around pharma,3
"Automakers see April sales increases amid tariffs, but good times may not last",https://www.cnbc.com/2025/05/01/automakers-april-sales-vehicles.html,business,"Automakers see April sales increases amid tariffs, but good times may not last",3
"GM lowers 2025 guidance, citing up to $5 billion in tariff exposure",https://www.cnbc.com/2025/05/01/gm-2025-guidance-tariffs.html,business,"GM lowers 2025 guidance, citing up to $5 billion in tariff exposure",3
"Eli Lilly sales soar 45% on weight loss drug demand, but cuts profit outlook",https://www.cnbc.com/2025/05/01/eli-lilly-lly-earnings-q1-2025.html,business,"Eli Lilly sales soar 45% on weight loss drug demand, but cuts profit outlook",3
"CVS tops estimates, hikes guidance as insurance business shows some improvement",https://www.cnbc.com/2025/05/01/cvs-health-cvs-earnings-q1-2025.html,business,"CVS tops estimates, hikes guidance as insurance business shows some improvement",3
Kentucky Derby: How horse owners invest and potentially earn millions,https://www.cnbc.com/2025/05/01/kentucky-derby-horse-owners.html,business,Kentucky Derby: How horse owners invest and potentially earn millions,3
L3 Harris redoing Qatari jet as potential Air Force One after Boeing delays,https://www.cnbc.com/2025/05/01/trump-air-force-one-l3-harris-boeing-delays.html,business,L3 Harris redoing Qatari jet as potential Air Force One after Boeing delays,3
Billionaire Lukas Walton names new CIO for his family office,https://www.cnbc.com/2025/05/01/billionaire-lukas-walton-picks-new-cio-for-his-family-office.html,business,Billionaire Lukas Walton names new CIO for his family office,3
